no,day,date,time,address,district,accident_types,suspect_age,victim_age,suspect_vehicle,victim_vehicle,MD,LB,LR,material_loss
0,Thursday,2017-12-28,21:30, Insinyur Sutami,Tamalanrea,T,21,-,R2,-,-,-,1,"500,000"
1,Sunday,2017-12-31,9:30,Tol reformasi,Tamalanrea,TK,38,26,R6,R4,-,-,-,"5,000,000"
2,Sunday,2017-12-31,16:30, Perintis Kemerdekaan,Biringkanaya,TK,19,18,R2,R4,-,-,-,"500,000"
3,Friday,2017-12-29,2:30, Jenderal Sudirman,Ujung Pandang,T,23,-,R2,-,-,-,1,"500,000"
4,Sunday,2017-12-31,17:30, Tanjung Alang,Mamajang,TM,19,4,R2,-,-,-,1,-
5,Monday,2018-01-01,0:15,Urip Sumuharjo,Panakkukang,T,54,-,R4,-,-,-,-,"1,000,000"
6,Saturday,2017-12-30,19:00, Lamadukelleng,Ujung Pandang,TL,-,22,R2,R2,-,-,2,"500,000"
7,Friday,2017-12-29,17:30, Pettarani,Panakkukang,TK,38,25,R4,R2,-,-,1,"300,000"
8,Monday,2018-01-01,0:30, Sungai Saddang Baru,Makassar,TL,-,28,R2,R2,-,-,2,"100,000"
9,Sunday,2017-12-31,13:00, Gagak,Mariso,OC,34,31,R2,-,-,-,1,-
10,Monday,2018-01-01,19:45, Boulevard,Panakkukang,TL,-,27,R4,R4,-,-,-,"100,000"
11,Monday,2018-01-01,20:10,Urip Sumuharjo,Panakkukang,TK,26,31,R2,R2,-,-,2,"500,000"
12,Saturday,2017-12-30,6:30, Pettarani,Tamalate,OC,34,-,R4,-,-,-,1,"30,000,000"
13,Monday,2018-01-01,20:30, Tinumbu,Bontoala,TM,32,7,R2,-,-,-,1,-
14,Tuesday,2018-01-02,6:30, Kecaping,Manggala,OC,29,-,R2,-,-,-,1,"300,000"
15,Tuesday,2018-01-02,7:00,Urip Sumuharjo,Panakkukang,OC,63,-,R2,-,-,-,1,"200,000"
16,Wednesday,2018-01-03,5:55, Boulevard,Panakkukang,TL,-,69,R4,-,1,-,-,-
17,Friday,2017-12-29,6:30, Tamangapa Raya,Manggala,OC,20,-,R2,-,-,-,1,-
18,Monday,2018-01-01,1:30,Urip Sumuharjo,Panakkukang,OC,58,-,R2,-,-,-,1,"500,000"
19,Saturday,2017-12-30,18:00, Perintis Kemerdekaan,Tamalanrea,OC,16,-,R2,-,-,-,1,"500,000"
20,Tuesday,2018-01-02,19:30, Insinyur Sutami,Tamalanrea,TK,38,70,R4,R2,-,-,1,"2,000,000"
21,Wednesday,2018-01-03,6:00, Batara Bira,Biringkanaya,TK,28,22,R2,R2,-,-,2,"1,000,000"
22,Wednesday,2018-01-03,9:00, Perintis Kemerdekaan,Tamalanrea,OC,54,-,R2,-,-,-,1,-
23,Wednesday,2018-01-03,8:05, Tol Reformasi,Panakkukang,TK,38,29,R2,R2,-,-,2,"500,000"
24,Tuesday,2018-01-02,11:00, Borong Jambu Raya,Manggala,OC,35,12,R6,-,1,-,-,-
25,Sunday,2017-09-17,1:00, Malengkeri,Tamalate,OC,29,-,R2,-,-,-,1,"500,000"
26,Tuesday,2018-01-02,16:00, Jenderal Sudirman,Ujung Pandang,TL,-,40,R4,R2,-,-,1,"500,000"
27,Thursday,2018-01-04,18:00, Perintis Kemerdekaan,Biringkanaya,TL,-,48,R4,R4,-,-,-,"500,000"
28,Thursday,2018-01-04,1:30, Cendrawasih,Mariso,TK,37,40,R2,R2,-,-,2,"200,000"
29,Thursday,2018-01-04,21:30, Sam Ratulangi,Mariso,TL,-,59,R2,-,-,-,1,-
30,Wednesday,2018-01-03,11:30, Veteran Utara,Makassar,TM,14,63,R2,-,-,-,1,-
31,Wednesday,2018-01-03,0:05, Perintis Kemerdekaan,Biringkanaya,TK,17,27,R2,R4,-,-,1,"2,000,000"
32,Friday,2018-01-05,12:30,Kijang,Makassar,TK,29,54,R2,R2,-,-,2,"700,000"
33,Monday,2018-01-01,20:00, Andi Mappaodang,Tamalate,OC,37,6,R2,-,-,-,1,"250,000"
34,Friday,2018-01-05,23:00,Pajaiang,Biringkanaya,OC,26,29,R2,-,-,-,2,"100,000"
35,Thursday,2018-01-04,4:00, Dr. Leimena,Manggala,OC,20,-,R4,-,-,-,2,"4,000,000"
36,Wednesday,2018-01-03,22:30, Malengkeri,Tamalate,TL,-,31,R2,R2,-,-,1,-
37,Thursday,2018-01-04,18:00, Perintis Kemerdekaan,Tamalanrea,OC,45,-,R2,-,-,-,1,"150,000"
38,Friday,2018-01-05,17:00,Pintu Bandar Udara Internasional Sultan Hasanuddin,Biringkanaya,TK,39,51,R4,R2,-,-,1,-
39,Friday,2018-01-05,20:30, Paccerakkang,Biringkanaya,OC,19,-,R2,-,-,-,1,"500,000"
40,Monday,2018-01-01,21:30, Datuk Ribandang,Tallo,OC,28,-,R2,-,-,-,1,"250,000"
41,Saturday,2018-01-06,7:00, Kapasa Raya,Tamalanrea,OC,30,-,R2,-,-,-,1,"100,000"
42,Saturday,2018-01-06,14:30, Pattimura,Ujung Pandang,OC,17,39,R2,-,-,-,1,-
43,Friday,2018-01-05,9:00, Sungai Saddang,Makassar,TK,32,39,R4,R2,-,-,2,"500,000"
44,Friday,2017-12-15,16:00,Urip Sumuharjo,Panakkukang,TK,22,25,R4,R2,-,-,2,"300,000"
45,Sunday,2018-01-07,18:00, Perintis Kemerdekaan 16,Tamalanrea,TK,22,23,R2,R2,-,-,2,"500,000"
46,Friday,2018-01-05,14:30, Perintis Kemerdekaan,Biringkanaya,T,60,-,R2,-,-,-,1,-
47,Thursday,2018-01-04,7:30, Perintis Kemerdekaan,Biringkanaya,TL,-,29,R6,R4,-,-,-,"3,000,000"
48,Sunday,2018-01-07,2:12, Pettarani,Rappocini,TK,20,25,R4,R4,-,-,-,"20,000,000"
49,Saturday,2018-01-06,18:00, Jipang Raya,Rappocini,OC,17,19,R2,-,-,-,1,-
50,Monday,2018-01-08,17:00,Kapasa Raya,Tamalanrea,OC,32,-,R2,-,-,-,1,"100,000"
51,Tuesday,2018-01-09,19:00, Malengkeri,Tamalate,TL,-,21,R2,R2,-,-,1,-
52,Wednesday,2018-01-10,22:45, Rajawali,Mariso,TK,54,30,R6,R2,1,-,-,"300,000"
53,Sunday,2018-01-07,23:30, Jenderal Ahmad Yani,Ujung Pandang,TK,29,24,R2,R4,-,-,2,"1,000,000"
54,Wednesday,2018-01-10,18:00, Manunggal,Tamalate,TM,29,7,R2,-,-,-,1,-
55,Thursday,2018-01-11,6:30, Jenderal Sudirman,Ujung Pandang,TK,51,22,R4,R2,-,-,1,"7,000,000"
56,Tuesday,2018-01-09,19:30, Perintis Kemerdekaan,Tamalanrea,TM,22,14,R2,-,-,-,1,"150,000"
57,Friday,2018-01-12,15:00, Perintis Kemerdekaan,Biringkanaya,TK,58,31,R2,R4,-,-,1,"500,000"
58,Friday,2018-01-12,12:15, Perintis Kemerdekaan,Biringkanaya,TL,-,29,R4,R2,-,-,1,"250,000"
59,Wednesday,2018-01-03,23:30, Perintis Kemerdekaan,Tamalanrea,TL,-,22,R2,R2,-,-,1,"250,000"
60,Sunday,2017-12-31,10:15, Abdullah Daeng Sirua,Panakkukang,TL,-,61,R4,R2,-,-,2,-
61,Wednesday,2018-01-10,14:00, Insinyur Sutami,Tamalanrea,OC,16,14,R2,-,-,-,2,"200,000"
62,Friday,2018-01-12,23:00, G. Batu Putih,Makassar,TK,20,55,M,R2,-,-,-,"3,000,000"
63,Friday,2018-01-12,17:00, Sultan Alauddin,Tamalate,T,34,-,R2,-,-,-,-,-
64,Saturday,2018-01-13,22:15, Perintis Kemerdekaan,Biringkanaya,TK,17,27,R2,R4,-,-,1,"1,500,000"
65,Saturday,2018-01-13,18:00, Perintis Kemerdekaan,Biringkanaya,TK,19,22,R2,R2,-,-,1,"500,000"
66,Sunday,2018-01-14,15:30, Insinyur Sutami,Tamalanrea,TK,20,15,R2,R2,-,-,4,"1,000,000"
67,Sunday,2018-01-14,19:30,Kapasa Raya,Tamalanrea,TK,48,49,R2,R4,1,-,-,"15,000,000"
68,Sunday,2018-01-14,0:00, Raya Kampus Unhas,Tamalanrea,TL,-,36,R4,R2,-,-,1,"500,000"
69,Monday,2018-01-15,14:30, Aroepala,Rappocini,TK,20,48,R2,R4,-,-,-,"1,000,000"
70,Saturday,2018-01-13,23:00,Urip Sumuharjo,Panakkukang,TK,28,41,R2,R2,-,-,2,"700,000"
71,Monday,2018-01-15,0:30, Barawaja,Panakkukang,TL,-,45,R4,R2,-,-,1,"100,000"
72,Sunday,2018-01-14,21:00, Pettarani,Rappocini,TK,37,23,R2,R4,-,-,-,"800,000"
73,Wednesday,2018-01-10,14:30, Insinyur Sutami,Tamalanrea,OC,15,15,R2,-,-,-,1,-
74,Saturday,2018-01-13,17:20, Pettarani,Panakkukang,TK,40,27,R4,R4,-,-,-,"2,000,000"
75,Tuesday,2018-01-16,15:30, Pettarani,Panakkukang,TK,58,18,R4,R4,-,-,-,"500,000"
76,Tuesday,2017-12-19,5:00, Tamangapa Raya,Manggala,TL,-,23,R6,R2,-,-,1,"300,000"
77,Saturday,2018-01-13,20:30, Dangko,Tamalate,TL,-,18,R2,R2,-,-,1,"400,000"
78,Wednesday,2018-01-17,7:30, Pettarani,Panakkukang,TK,14,31,R2,R4,-,-,2,"1,000,000"
79,Wednesday,2018-01-17,14:00, Serigala,Mamajang,TK,54,27,R4,R4,-,-,1,"2,500,000"
80,Tuesday,2018-01-16,17:30, Dr. Leimena,Manggala,OC,31,-,R2,-,-,-,1,"100,000"
81,Thursday,2018-01-18,13:00, Daeng Tata Raya,Tamalate,OC,23,46,R2,-,1,-,1,-
82,Sunday,2018-01-14,9:00, Jenderal Ahmad Yani,Ujung Pandang,TL,-,59,R4,R2,-,-,1,"100,000"
83,Tuesday,2018-01-16,15:30, Bandang,Bontoala,OC,16,16,R2,-,-,-,1,"300,000"
84,Friday,2018-01-19,9:30, Mesjid Raya,Bontoala,TK,69,47,R4,R2,-,-,1,"500,000"
85,Friday,2018-01-19,9:30, Jenderal Sudirman,Ujung Pandang,TK,32,32,R4,R2,-,-,1,"1,000,000"
86,Friday,2018-01-19,8:00,Andi Mappaodang,Tamalate,TK,15,37,R2,R4,-,-,1,"100,000"
87,Saturday,2018-01-20,20:30, Kerung-Kerung,Makassar,TK,20,-,R2,R2,-,-,1,"1,000,000"
88,Sunday,2018-01-21,3:30, Jenderal Ahmad Yani,Ujung Pandang,TK,26,78,R2,Rro,-,1,1,-
89,Friday,2018-01-19,21:30, Perintis Kemerdekaan,Biringkanaya,TK,18,18,R2,R2,-,-,1,"100,000"
90,Thursday,2018-01-18,3:30, Metro Tanjung Bunga,Tamalate,OC,23,20,R6,-,-,-,4,"5,000,000"
91,Thursday,2018-01-18,3:00, Sam Ratulangi,Makassar,TL,-,16,R4,R2,-,-,2,"500,000"
92,Monday,2018-01-08,19:00, Rusa,Makassar,TL,-,21,R4,R2,-,-,1,"150,000"
93,Saturday,2018-01-20,19:20, Pettarani,Panakkukang,TK,24,18,R2,R4,-,-,1,"2,000,000"
94,Wednesday,2017-08-30,14:00, Letjen Hertasning,Panakkukang,OC,31,60,R2,-,-,-,1,-
95,Monday,2018-01-22,21:40, Pengayoman,Panakkukang,TK,15,34,R2,R4,-,-,-,"1,000,000"
96,Saturday,2018-01-20,21:00, Telegraph Utama,Biringkanaya,TK,28,63,R2,R4,-,-,1,"7,000,000"
97,Saturday,2018-01-20,22:30, Perintis Kemerdekaan,Biringkanaya,TL,-,35,R4,R4,-,-,-,"300,000"
98,Sunday,2018-01-21,21:30,Poros Perumnas Sudiang,Biringkanaya,OC,22,-,R2,-,-,-,1,"200,000"
99,Sunday,2018-01-21,12:30,Urip Sumuharjo,Panakkukang,OC,22,-,R2,-,-,-,1,"200,000"
100,Saturday,2017-11-25,15:05, Rutan,Rappocini,TL,-,11,R2,-,-,-,1,-
101,Friday,2018-01-19,15:00, Cendrawasih,Mariso,OC,15,15,R2,-,-,-,1,-
102,Friday,2018-01-19,22:30,Urip Sumuharjo,Panakkukang,OC,33,-,R2,-,-,-,1,"500,000"
103,Saturday,2017-10-07,16:00,Pajukukang,Tamalate,OC,15,-,R2,-,-,-,1,"100,000"
104,Saturday,2018-01-06,23:40, Datu Musseng,Ujung Pandang,TK,19,32,R4,R4,-,-,-,"3,000,000"
105,Thursday,2018-01-25,8:00, Mallombassang,Tamalate,TK,19,36,R2,R2,-,-,4,"500,000"
106,Thursday,2018-01-25,15:30, Jenderal Sudirman,Ujung Pandang,TK,32,26,R4,R2,-,-,2,"5,000,000"
107,Wednesday,2018-01-24,10:00, Cendrawasih,Mariso,TK,45,35,R2,R2,-,-,1,-
108,Wednesday,2018-01-24,15:30, Sam Ratulangi,Mamajang,TL,-,21,R2,-,-,-,1,-
109,Friday,2018-01-26,1:10, Datu Musseng,Ujung Pandang,TL,-,28,R4,R4,-,-,-,"2,500,000"
110,Tuesday,2018-01-23,23:00, Antang Raya,Manggala,TK,21,25,R2,R2,-,-,1,"200,000"
111,Thursday,2018-01-25,18:45, Muhajirin,Tamalate,TK,31,31,R4,R4,-,-,-,"2,000,000"
112,Thursday,2018-01-25,21:30, Batua Raya,Panakkukang,TL,-,26,R4,R4,-,-,-,"1,000,000"
113,Wednesday,2018-01-24,17:00, Daeng Tata Raya,Tamalate,OC,14,-,R2,-,-,-,1,"500,000"
114,Thursday,2018-01-25,17:30, Pettarani,Rappocini,TL,-,29,R4,R4,-,-,-,"1,000,000"
115,Thursday,2018-01-25,9:30, Perintis Kemerdekaan,Biringkanaya,TL,-,34,R4,R2,-,-,1,"500,000"
116,Friday,2018-01-26,7:30, Kima Raya,Biringkanaya,TK,25,28,R2,R2,-,-,2,"500,000"
117,Thursday,2018-01-25,6:30, Perintis Kemerdekaan,Biringkanaya,TK,36,43,R4,R4,-,-,-,"15,000,000"
118,Friday,2018-01-26,9:00, Veteran Utara,Makassar,TK,20,68,R4,R2,-,-,1,"200,000"
119,Sunday,2018-01-28,4:56, Pelita Raya,Rappocini,OC,25,29,R4,-,1,-,2,"30,000,000"
120,Sunday,2018-01-28,0:50,Urip Sumuharjo,Makassar,OC,29,-,R2,-,1,-,-,"200,000"
121,Friday,2017-12-08,12:00, Laikang,Biringkanaya,TK,16,53,R2,R2,-,-,2,"500,000"
122,Friday,2018-01-26,9:00, Perintis Kemerdekaan,Tamalanrea,T,25,59,R2,-,-,-,1,-
123,Friday,2018-01-26,20:00, Tala' salapang I,Rappocini,TL,-,14,R2,-,-,-,1,-
124,Monday,2018-01-29,22:00, Profesor Abdurrahman Basalamah,Panakkukang,TK,51,23,R2,R2,-,-,1,"2,000,000"
125,Monday,2018-01-29,13:45, Letjen Hertasning,Rappocini,TK,32,36,R2,R4,-,-,1,"1,000,000"
126,Saturday,2018-01-27,9:30, Veteran Selatan,Mamajang,TL,-,57,R4,R2,-,-,1,"1,000,000"
127,Sunday,2018-01-28,0:30, Gunung Bawakaraeng,Ujung Pandang,TK,52,23,R2,R2,-,-,2,"1,000,000"
128,Monday,2018-01-29,14:00, Kerukunan Timur 1,Tamalanrea,TM,22,5,R2,-,-,-,1,-
129,Tuesday,2018-01-30,18:10, Salodong,Biringkanaya,TK,20,12,R4,R2,1,-,1,"2,000,000"
130,Tuesday,2018-01-30,23:20, Sungai Saddang,Makassar,TK,25,40,R4,R2,-,-,1,"1,500,000"
131,Tuesday,2018-01-30,7:00,Urip Sumuharjo,Panakkukang,TL,-,16,R4,R2,-,-,3,"200,000"
132,Tuesday,2018-01-30,14:00, Ujung Bor,Manggala,TL,-,22,R4,R2,-,-,2,-
133,Sunday,2018-01-28,10:30, Kartini,Ujung Pandang,TL,-,56,R2,-,-,-,1,-
134,Tuesday,2018-01-30,15:50,Urip Sumuharjo,Panakkukang,TL,-,21,R4,R2,-,-,1,"100,000"
135,Wednesday,2018-01-31,6:30, Cendrawasih,Mariso,TK,18,13,R2,R2,-,-,1,"300,000"
136,Wednesday,2018-01-31,10:30, Perintis Kemerdekaan,Tamalanrea,TM,18,54,R2,-,-,-,1,"1,000,000"
137,Wednesday,2018-01-31,11:30, Dg. Regge,Tallo,TL,-,16,R4,R2,-,-,1,"200,000"
138,Tuesday,2018-01-30,20:30,Andi Mappaodang,Tamalate,TL,-,28,R2,R2,-,-,1,"50,000"
139,Thursday,2018-02-01,8:30,Urip Sumuharjo,Panakkukang,TL,-,10,R2,-,-,-,1,-
140,Friday,2018-02-02,8:30, Veteran Utara,Makassar,TM,46,35,R2,-,-,-,2,-
141,Friday,2018-02-02,0:30, Metro Tanjung Bunga,Mariso,OC,58,17,R2,-,-,-,1,-
142,Friday,2018-02-02,5:50, Borong Raya,Manggala,TK,29,31,R2,R2,-,-,1,"500,000"
143,Friday,2018-02-02,15:00, Inspeksi PAM,Makassar,TL,-,8,R2,-,-,-,1,-
144,Thursday,2018-02-01,9:50, Perintis Kemerdekaan,Tamalanrea,OC,18,18,R2,-,-,-,1,-
145,Friday,2018-02-02,22:30,Urip Sumuharjo,Panakkukang,TK,-,21,R4,R4,-,-,-,"500,000"
146,Sunday,2018-02-04,18:05, Pettarani,Panakkukang,OC,22,54,R2,-,-,-,2,"300,000"
147,Sunday,2018-02-04,17:30, Cendrawasih,Mariso,TL,-,22,R2,R2,-,-,1,"100,000"
148,Sunday,2018-02-04,6:00,Urip Sumuharjo,Panakkukang,OC,64,-,B2,-,-,-,1,-
149,Saturday,2018-02-03,11:30, Sungai Saddang,Ujung Pandang,TL,-,25,R2,R2,-,-,1,"500,000"
150,Saturday,2018-02-03,11:00, Mesjid Raya,Bontoala,TL,-,50,R4,R2,-,-,1,"100,000"
151,Friday,2018-02-02,22:00, Perintis Kemerdekaan,Panakkukang,TK,27,10,R2,R2,-,-,1,-
152,Friday,2018-02-02,17:30, Inspeksi Kanal,Panakkukang,TL,-,61,R4,B1,-,-,1,-
153,Thursday,2018-02-01,13:20, Antang Raya,Manggala,OC,43,40,R2,-,-,-,1,"100,000"
154,Sunday,2018-02-04,21:00,Urip Sumuharjo,Panakkukang,TL,-,18,R2,R2,-,-,1,"400,000"
155,Tuesday,2018-01-30,10:15, Kima Raya,Tamalanrea,TK,36,54,R2,R6,-,-,1,"2,000,000"
156,Thursday,2018-02-01,11:30, Paccerakkang ,Biringkanaya,TM,25,13,R2,-,-,-,4,"150,000"
157,Monday,2018-02-05,9:20, Perintis Kemerdekaan,Biringkanaya,TK,25,24,R2,R2,-,-,1,"250,000"
158,Monday,2018-02-05,21:30, Toddopuli Raya,Panakkukang,TK,-,24,R2,R4,-,-,-,"500,000"
159,Tuesday,2018-01-30,6:40,Urip Sumuharjo,Panakkukang,TL,-,16,R4,R2,-,-,1,"500,000"
160,Monday,2018-02-05,18:00, Perintis Kemerdekaan,Tamalanrea,OC,21,74,R2,-,-,-,1,-
161,Thursday,2018-01-04,1:10, Somba Opu,Ujung Pandang,TL,-,25,R2,R2,-,-,1,-
162,Wednesday,2018-02-07,13:30, Barawaja,Panakkukang,TL,-,34,R2,R2,-,-,1,-
163,Monday,2018-02-05,22:00, Sunu,Bontoala,TK,34,28,R4,R2,-,-,1,"500,000"
164,Thursday,2018-02-08,7:20, Thamrin,Ujung Pandang,OC,49,17,R2,-,-,-,2,"100,000"
165,Tuesday,2018-02-06,6:00, Sultan Hasanuddin,Ujung Pandang,TK,17,30,R2,R2,-,-,3,"2,000,000"
166,Monday,2018-02-05,8:40, Adipura,Panakkukang,TL,-,18,R2,-,-,-,1,-
167,Wednesday,2018-02-07,16:00, Perintis Kemerdekaan,Biringkanaya,TL,-,44,R4,R4,-,-,-,"1,500,000"
168,Tuesday,2018-02-06,11:30, Sam Ratulangi,Mariso,TL,-,51,R4,R2,-,-,1,"300,000"
169,Thursday,2018-02-08,10:00, Insinyur Sutami,Biringkanaya,OC,30,-,R2,-,-,-,1,-
170,Wednesday,2018-02-07,21:30, Pettarani,Panakkukang,TL,-,30,R4,R2,-,-,1,"200,000"
171,Friday,2018-02-02,22:30, Haji Bau,Mariso,TL,-,31,R4,R4,-,-,-,"3,000,000"
172,Friday,2018-02-09,16:30, Perintis Kemerdekaan,Tamalanrea,OC,40,-,R2,-,-,-,1,"200,000"
173,Friday,2018-02-09,11:00, Pajaiang,Biringkanaya,TK,42,19,R2,R2,-,-,2,"2,000,000"
174,Saturday,2018-02-10,7:00, Perintis Kemerdekaan,Tamalanrea,OC,35,8,R2,-,-,-,2,-
175,Thursday,2018-02-08,17:45, Perintis Kemerdekaan,Tamalanrea,OC,54,-,R2,-,-,-,1,-
176,Friday,2018-02-09,20:00, Kima Raya,Biringkanaya,OC,24,-,R2,-,-,-,1,"100,000"
177,Sunday,2018-02-11,9:00, Perintis Kemerdekaan,Tamalanrea,TM,18,60,R2,-,-,-,1,-
178,Friday,2018-02-09,0:30, Cendrawasih,Mamajang,OC,16,-,R2,-,-,-,1,-
179,Friday,2018-02-09,2:00, Veteran Utara,Makassar,TL,-,11,R2,-,-,-,1,-
180,Saturday,2018-02-10,11:00, Tamangapa Raya,Manggala,TM,13,7,R2,-,-,-,2,"200,000"
181,Saturday,2018-02-10,7:30, Monginsidi,Ujung Pandang,OC,35,-,R2,-,-,-,1,-
182,Friday,2017-10-20,0:00, Aroepala,Rappocini,OC,41,-,R2,-,-,-,1,"200,000"
183,Monday,2018-02-12,11:30, Manggis,Ujung Pandang,OC,35,36,R4,-,-,-,2,"2,000,000"
184,Tuesday,2018-02-13,21:00, Batara Bira,Biringkanaya,TK,34,30,R4,R2,-,-,2,"5,000,000"
185,Wednesday,2018-02-14,15:30, Bakung,Biringkanaya,TL,-,15,R2,R2,-,-,1,"200,000"
186,Thursday,2018-02-01,16:00, Paccerakkang ,Biringkanaya,TL,-,43,R4,R2,-,-,-,-
187,Tuesday,2018-02-13,23:00, Villa Mutiara,Biringkanaya,OC,16,-,R2,-,-,-,1,-
188,Wednesday,2018-02-14,16:30, Bonto Duri,Tamalate,TM,27,10,R4,-,1,-,-,-
189,Wednesday,2018-02-14,15:30, Pettarani,Rappocini,T,49,-,R2,-,-,-,1,"200,000"
190,Wednesday,2018-02-14,20:00, Nipa Nipa,Manggala,TM,17,40,R2,-,-,-,2,"200,000"
191,Wednesday,2018-02-14,21:30,Urip Sumuharjo,Panakkukang,TK,22,47,R4,R4,-,-,-,"7,000,000"
192,Wednesday,2018-02-14,12:00, Pettarani,Panakkukang,OC,23,-,R2,-,-,-,1,"20,000"
193,Thursday,2018-02-15,0:25, Malengkeri,Tamalate,TL,-,21,R4,R2,-,-,2,"500,000"
194,Thursday,2018-02-15,6:45, Veteran Utara,Makassar,T,56,45,R2,-,-,-,1,-
195,Saturday,2018-02-17,12:30, Sam Ratulangi,Mariso,TL,-,55,R2,R2,-,-,1,"300,000"
196,Thursday,2018-02-15,9:30, Ance Daeng Ngoyo,Panakkukang,TK,16,34,R2,R4,-,-,-,"3,000,000"
197,Wednesday,2018-02-14,19:00, Dangko,Tamalate,OC,57,-,R2,-,-,-,1,-
198,Sunday,2018-01-14,9:00, Cilallang,Rappocini,OC,17,12,R2,-,-,-,2,"1,000,000"
199,Friday,2018-02-16,21:00, Monginsidi,Makassar,TL,27,6,R2,R4,-,-,2,"100,000"
200,Saturday,2018-02-17,19:30, Pettarani,Rappocini,TL,-,22,R2,R2,-,-,2,"500,000"
201,Saturday,2018-02-17,17:30, Perintis Kemerdekaan,Tamalanrea,OC,17,-,R2,-,-,-,1,-
202,Thursday,2018-02-15,7:30, Telegraph Utama,Biringkanaya,TK,13,39,R2,R4,-,-,1,"5,000,000"
203,Friday,2018-02-16,2:00, Perintis Kemerdekaan,Biringkanaya,TK,48,-,R2,R4,-,-,1,"500,000"
204,Thursday,2018-02-15,16:00,Insinyur Sutami,Biringkanaya,TK,40,-,R4,R6,-,-,-,"7,500,000"
205,Sunday,2018-02-18,2:30, Gn. Latimojong,Makassar,TK,47,24,R2,R4,-,-,2,"5,000,000"
206,Friday,2018-02-16,13:30, Amanagapa,Ujung Pandang,TK,50,44,R4,R2,-,-,1,"1,500,000"
207,Saturday,2018-02-10,13:30, Metro Tanjung Bunga,Tamalate,TL,-,31,R4,R2,-,-,1,"150,000"
208,Sunday,2018-02-18,15:00, Cendrawasih,Mamajang,OC,36,21,R2,-,-,-,2,-
209,Monday,2018-02-19,10:30, Andi Tonro,Tamalate,TM,59,7,R2,-,-,-,1,-
210,Wednesday,2018-02-14,18:00, Perintis Kemerdekaan,Tamalanrea,TK,35,41,R2,R4,-,-,1,"200,000"
211,Tuesday,2018-02-20,0:20, Paccerakkang ,Biringkanaya,TL,-,22,R2,R2,-,-,1,"700,000"
212,Saturday,2018-02-17,23:30, Tamangapa Raya,Manggala,TK,19,19,R2,R2,-,-,2,"300,000"
213,Sunday,2018-02-18,19:00,Urip Sumuharjo,Panakkukang,OC,24,-,R2,-,-,-,1,"500,000"
214,Sunday,2018-02-18,16:00, Pettarani,Rappocini,TL,-,20,R4,R2,-,-,1,"100,000"
215,Monday,2018-02-19,10:00, Profesor Abdurrahman Basalamah,Panakkukang,OC,68,-,R2,-,-,-,1,"100,000"
216,Sunday,2018-02-18,19:15,Insinyur Sutami,Biringkanaya,TK,29,50,R4,R4,-,-,2,"10,000,000"
217,Saturday,2018-02-17,19:00, Tamalanrea Raya,Tamalanrea,OC,24,-,R2,-,-,-,1,"100,000"
218,Tuesday,2018-02-20,12:30, Lasuloro,Manggala,TL,-,8,R4,-,-,-,1,-
219,Monday,2018-02-19,20:30,Urip Sumuharjo,Panakkukang,TL,-,21,R2,R2,-,-,2,-
220,Monday,2018-02-19,22:30, Tamangapa Raya,Manggala,TK,31,13,R2,R2,-,-,3,"500,000"
221,Thursday,2018-02-15,2:10, Pajukukang,Tamalate,TL,-,40,R2,R2,-,-,1,"100,000"
222,Wednesday,2018-02-21,9:00, Metro Tanjung Bunga,Mariso,TL,-,37,R2,R2,-,-,2,"100,000"
223,Monday,2018-02-19,20:00, Gagak,Mariso,TL,-,29,R2,-,-,-,1,-
224,Wednesday,2018-02-21,17:00, Pettarani,Rappocini,TK,55,15,R6,R2,-,-,1,"200,000"
225,Thursday,2018-02-15,17:30, Pettarani,Rappocini,TL,-,26,R2,R2,-,-,1,"500,000"
226,Wednesday,2018-02-21,7:30, Metro Tanjung Bunga,Tamalate,TL,-,29,R2,R2,-,-,2,-
227,Thursday,2018-02-22,21:30, Kakatua II,Mariso,TK,15,19,R2,R2,-,-,3,"100,000"
228,Tuesday,2018-02-20,13:30, Kapasa Raya,Tamalanrea,OC,18,54,R2,-,-,-,1,-
229,Wednesday,2018-02-21,13:00, Perintis Kemerdekaan,Tamalanrea,OC,62,-,R2,-,-,-,1,-
230,Friday,2018-02-23,7:30, Perintis Kemerdekaan,Biringkanaya,TK,51,23,R2,R4,-,-,1,"200,000"
231,Friday,2018-02-23,16:30,Urip Sumuharjo,Panakkukang,TL,-,29,R2,-,-,-,1,-
232,Thursday,2018-02-22,13:00, Gotong Royong,Panakkukang,TL,-,16,R2,R2,-,-,1,"100,000"
233,Thursday,2018-02-22,10:00, Abdullah Daeng Sirua,Manggala,OC,71,-,R2,-,-,-,1,"100,000"
234,Thursday,2018-02-22,0:30, Andalas,Bontoala,TK,16,39,R2,B2,-,-,3,"2,000,000"
235,Saturday,2018-02-24,11:30, Sultan Alauddin,Tamalate,OC,64,18,R2,-,-,-,2,"500,000"
236,Friday,2018-02-23,7:00, Sultan Alauddin,Tamalate,TL,-,53,R2,R2,-,-,1,"200,000"
237,Saturday,2018-02-24,13:45, Cendrawasih,Mamajang,TK,59,22,R2,R2,-,-,2,"2,000,000"
238,Sunday,2018-02-25,6:30, Pettarani,Rappocini,OC,21,19,R4,-,-,-,5,"30,000,000"
